"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_llc","asc_rlc","speed_llc","speed_rlc","nodv_llc","nodv_rlc","dist_llc","dist_rlc","time_llc","time_rlc","pos_acc","pos_brk","pos_llc","pos_rlc","logLike"
0.03102669593246,0.100324654528353,-0.22336073289212,-0.00297343886284891,0.254356838792049,0.0583444896942009,0.0120848024757641,0.0203805359553803,0.398162233846303,-0.26856595337105,-0.369855646427965,-0.289995823042062,-1.61724957637971,-1.25954412209418,1.44761129263762,1.12846328739753,0.0588018555917606,0.0402772919201372,0.136902440481876,0.18025933646217,-0.645216925567186,-0.268545207594219,-0.0641566593160711,1.24015345292889,-15675.3833091362
0.0469529189324141,0.124773802186136,-0.219153896377352,-0.0157807957813042,0.222657143793369,0.0800428796982962,0.0101839049251796,0.0209813330151445,0.467353217497626,-0.288886715519291,-0.371136385409788,-0.299052348217922,-1.59399449734265,-1.27569438855911,1.45790685405325,1.0666266745168,0.0575953503614379,0.0420216504688996,0.140711229004877,0.19484582621547,-0.676134453433502,-0.285941446899092,-0.0678888268068894,1.45062644922267,-15650.6440592698
0.0732461785463212,0.172418913656319,-0.214329492215276,-0.0128496120889023,0.205578345782637,0.0507940603317977,0.00595284380719006,0.0221187209491982,0.581685583504394,-0.320639067447144,-0.382967817386494,-0.300150004132167,-1.59646461161809,-1.23862034833596,1.41678038996031,1.01453300712562,0.0587619754446705,0.0397827144709711,0.143778202190893,0.222336010683436,-0.722004163317339,-0.308263110234814,-0.074451538335544,1.80336614960589,-15608.6799330865
0.140039835560931,0.389096426115975,-0.246415002616983,-0.0808221313386091,0.206806302895289,0.0665416509212227,0.000866872454192114,0.0196853411388928,0.744923246847215,-0.23996684847198,-0.374140550407581,-0.399469290847024,-1.33477789005689,-1.50979830526504,1.11103526665881,1.30265285819458,0.0485025237932783,0.0442002692275619,0.203257508858768,0.345418637732174,-0.479631061004758,-0.0251968666623658,-0.0280900692416093,2.44693658446298,-15587.5612144804
0.208564884447049,0.692689641810861,-0.27460799770603,-0.15808288545642,0.227149456722187,0.0788993287783934,-0.000281411121655197,0.0118920376095904,0.753438545089972,-0.0286307612858835,-0.439765839372007,-0.44687815610524,-1.38815971972501,-1.43980319121065,1.20290700813831,1.2327942945915,0.0426038706297426,0.0389134365619254,0.370559375000724,0.419583296933005,-0.00385816453787746,0.247276170650357,0.0846973751970965,2.77701141487931,-15521.857898187
0.792371130324161,2.96636970765231,-0.359351023605845,-0.649651686460663,0.208393733768822,0.0671284445186186,-0.0127454776019733,-0.0217982469917045,0.999332897912279,0.880660593681743,-0.863349546606486,-0.884583155613532,-1.26485538152503,-1.15290659847577,0.981952275253852,0.868446765982502,-0.000242605176851055,0.0118219847451327,1.42594970072821,1.04211935635994,-0.38362316782059,0.423063010481139,1.58490251507231,2.79815596550307,-15141.3411550539
1.63099530612058,5.77630212761497,-0.521908326449783,-1.21794070486282,0.179961475402424,0.0222474771365761,-0.0534939859191708,-0.0296055133843964,2.0330400738342,1.08254447894989,-1.41152240763825,-1.4862006452182,-0.99019183773305,-0.92519516567589,0.623044356302654,0.619791010969399,-0.0475097582670613,-0.0223707281747696,2.43302681147637,1.9220863346041,0.350965840981682,-0.91566255961275,3.01979385043735,2.43411454577006,-15129.3749579283
2.05046678885725,6.89128348533069,-0.59089142348471,-1.45925043748047,0.171310387182259,0.0322277791218724,-0.0823115645411273,-0.00892033401846304,2.77107804965264,0.452767367259919,-1.6909193599887,-1.73465751005467,-0.92428512585015,-0.709843096669637,0.579292415748791,0.391460683804491,-0.0547229417681859,-0.0422008113057,2.54564230449229,2.33761164306246,0.42862976426829,-0.629188709091746,2.68158392111004,1.98762948005265,-14924.3788771934
2.73376648266338,9.29749381537888,-0.676233852972779,-1.93713322446125,0.178570231006188,0.0112727946048979,-0.00785357411193173,0.00964811876697819,0.473191287987521,-0.142539349927263,-2.36996986677521,-2.41545266239247,-0.494591821720426,-0.40954295985281,0.300917792797344,0.00503306046501267,-0.033861073803927,-0.0706639546357228,1.54767684659663,3.02942081067644,0.221138378394575,-1.43496892652714,-0.897385346819673,1.86057775879791,-14814.9983318715
3.28190292654595,10.0403277687754,-0.752195817324397,-2.07412763492447,0.158367837526996,0.00532470850168388,0.0115347572666456,0.0121095352366114,-0.188964681003989,-0.277468799590953,-2.73207093273487,-3.03693835641877,-0.266209671511177,-0.267028204858674,0.199758292987627,0.105012960764272,0.00689132224925122,0.0367476441000386,0.153785798918754,-0.242014091904491,0.098431940015612,-1.62617200107355,-2.14504760798897,1.91412042458514,-14652.9829238222
3.71126011967203,9.73925780152904,-0.818971415723414,-2.00471837242182,0.16573349071483,0.0358949164863668,0.0610905366817607,0.0732610182114149,-1.6751030914665,-2.05701982069202,-2.90829676149172,-3.33248134092857,-0.194449883232013,-0.166196887747795,0.180800901603198,0.0582954339582867,0.0466775302892977,0.0712569441328254,-1.10635379351118,-1.34159476475247,0.203018490622968,-1.28506456900412,-1.18769208004775,2.24317336309546,-14528.5946802286
4.22567362762265,9.12199293775945,-0.909731013237259,-1.86291561394314,0.162344725303508,0.0329536516485383,0.0549797942019716,0.0588067134549616,-1.56819494443607,-1.6833431061662,-2.9872761387537,-3.40603039793447,-0.19342599906543,-0.11678280284379,0.325895519088567,0.00777216124807771,0.0947859205821082,0.0552511415967052,-2.60249198148792,-0.956824727304362,0.187813285192681,-1.05759594516653,-0.690034307350719,2.27968051641174,-14374.9253797814
5.2601554136426,6.80464964980715,-1.07887589792184,-1.33442733998887,0.078359888773195,-0.0173844652008453,0.0250117083519446,0.0397087121360101,-0.785318795982911,-1.14778143224928,-2.39957498492265,-3.52578383678064,-0.159171409235254,-0.110393050307329,0.0407034922354525,0.044122305258754,-0.0200131742423472,0.030715424174231,0.611313723170682,-0.341189599057498,-0.134956266718319,-0.778304389115181,-1.14323446800193,2.37926723061359,-14082.4633699869
