"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_acc",4.41899678833009,0.771278987877969,5.72944013487018,1.23309606141643,3.58365980283326
"asc_brk",6.25456464848524,0.727162227120099,8.60133325854429,1.96856314979892,3.17722327024364
"speed_acc",-0.92488672350288,0.167597563166511,-5.51849744130224,0.270317797463703,-3.42147920773537
"speed_brk",-1.24933070194653,0.158059252730754,-7.90419213277382,0.43230097819451,-2.88995575990672
"nodv_acc",0.0735348961449534,0.0229223508873072,3.20799975999285,0.0323623593606005,2.27223532516849
"nodv_brk",-0.0267644671135195,0.0222684937177224,-1.20189840645661,0.027868696261782,-0.960377437900575
"dist_acc",-0.00763372519604842,0.00497443655145219,-1.53459092644772,0.0050610791734644,-1.50831965563246
"dist_brk",0.0177691380469682,0.00462211592941158,3.84437307898297,0.00621400316907397,2.85953153925028
"time_acc",0.176927144572936,0.137386485761348,1.28780602831834,0.125706176594858,1.40746580132781
"time_brk",-0.484501978207974,0.131160300041132,-3.69396820574545,0.168920131576162,-2.86823112015825
"asc_llc",-1.84362976231748,3.04669336618379,-0.605124815900579,2.5324340603895,-0.728007015524788
"asc_rlc",-8.55071502183206,2.83423752080546,-3.0169366395947,2.31101583972266,-3.69998114026696
"speed_llc",-0.350368330450514,0.6605887483672,-0.530387977870546,0.542007437243417,-0.646427163864106
"speed_rlc",0.954446929801479,0.609955297957739,1.56478176842987,0.449701503479309,2.12240102027009
"nodv_llc",0.237965509147212,0.08279596717299,2.87411956490608,0.0724365944474629,3.2851559486249
"nodv_rlc",-0.0397021263474986,0.0861856326413285,-0.460658292232112,0.0902082884433517,-0.440116169285602
"dist_llc",0.00258855009374006,0.0213527919360374,0.121227711181475,0.0159233560282972,0.162563098453617
"dist_rlc",-0.036172345301838,0.0201139894202417,-1.79836752153384,0.0205119179004691,-1.76347943070749
"time_llc",-0.219255666030444,0.599981569396481,-0.365437335435141,0.484092378611715,-0.452921127697213
"time_rlc",0.872366065554926,0.537605816008996,1.62268718004407,0.53620089762011,1.62693883845935
"pos_acc",-0.140638759967169,0.0681005332937978,-2.06516385650651,0.0769956050220026,-1.8265816591347
"pos_brk",0.00414883695638842,0.0641582816095423,0.0646656495826621,0.0991083333262656,0.0418616358195673
"pos_llc",-0.586321554717124,0.281530852949409,-2.0826191821416,0.315447491959361,-1.85869778540722
"pos_rlc",3.17012092550692,0.155006565066771,20.4515268378558,0.663815895082236,4.77560261661735
