"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_llc","asc_rlc","male_llc","male_rlc","male_acc","male_brk","oldAge_llc","oldAge_rlc","oldAge_acc","oldAge_brk","speed_llc","speed_rlc","nodv_llc","nodv_rlc","dist_llc","dist_rlc","time_llc","time_rlc","pos_acc","pos_brk","pos_llc","pos_rlc","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19306.8171975594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19306.8171975594
8.07936061173678e-05,0.000425369599834085,0.000335147904232145,0.00190839368104935,0.000317132778465748,0.000603340778499842,0.0014436311069876,0.00935561830922962,8.67133419960738e-05,0.000333854479715228,-0.001165926348418,-0.00114339835010469,-0.000878182366490364,-0.000860774368047715,4.85376007854939e-05,0.000325529595836997,-0.000362803181633353,-0.000355635182932019,3.70688010007143e-05,0.000118476798757911,-0.00533900750242174,-0.00523584853671491,-0.00184299523383379,-0.00184657923690975,-0.0252862095292658,-0.0250048706512898,-0.000920396961271763,-0.000908507825806737,-2.28404253721237e-05,3.15201543271542e-05,-0.000131088487803936,-5.11678457260132e-05,-17765.1774434522
4.89338832957506e-06,0.000410767876161936,-6.35221906192319e-05,0.0017731504550271,0.000372634477753329,0.000190423066612348,-0.00330324128840236,-0.00964867339822238,-4.08642294701206e-05,-0.000344544469055404,-0.00235669626109047,-0.00230617900074565,-0.00178965529949761,-0.00175054799701844,-2.35310416028357e-05,0.000348418321762116,-0.000745393110856157,-0.000729197982423957,3.57872441032807e-05,0.000109031132035124,-0.0107848958824645,-0.010553599692073,-0.00349823357274873,-0.00351536374058291,-0.0398877790902102,-0.0393378737866052,-0.00145888018072645,-0.00143489960309998,-7.78140523348878e-05,6.49668497578211e-06,-0.000264065674857877,-7.05311437348827e-05,-17043.4837197494
-0.00036900794827593,0.000640970530597712,-0.00184157810500774,0.00275266146217574,-0.000139696755163897,0.000209501404872529,-0.0220809520800024,-0.0149452269070349,-0.000664431477519418,-0.00054227685097306,-0.00351600563205779,-0.00343622808640047,-0.00268589463246138,-0.00262407288836255,-0.000314052100466722,0.000542716173113163,-0.00112711375335938,-0.00110135325635027,-4.67379435848207e-05,0.000168498351230166,-0.0160819687898043,-0.0157167433844492,-0.00493341454216751,-0.00497562246109239,-0.0463059311981884,-0.045553403776146,-0.00170299804580035,-0.00166889741784644,-0.000176141991504709,3.62507628285512e-06,-0.000392811731061743,-6.2970873570006e-05,-16835.3449849192
-0.0033745954854784,0.0204354353008941,-0.0203151872901259,0.0876796277408777,0.0149800697865463,0.00557113228251986,-0.0187401427398257,-0.0183378229842996,0.00332801506308848,-0.00197062757319675,-0.0817484564750734,-0.0797401797183533,-0.063720125634191,-0.0621584908988208,-0.00478897835319692,0.0163825526315193,-0.0274304693958476,-0.0267611953809614,0.000980008189801609,0.00529537038250978,-0.373227149758476,-0.364037657262967,-0.0913059886087958,-0.0941372254046818,-0.00254095941611802,0.00355823695468585,-0.00106030336770993,-0.000616769164258798,-0.00496544600148403,-0.000118330988090662,-0.00904506354763864,0.00210758476147988,-14967.1749148556
-0.0041316991241751,0.0183636016190635,-0.0240959515916668,0.0778027203747641,0.0153718172774718,0.0017255203183059,-0.0184659416426731,-0.0173059120818138,0.00360315519105035,-0.00206378680041926,-0.0845339320082942,-0.0826689419487741,-0.065860653246945,-0.0643837056780689,-0.0055156508034507,0.0147093380310435,-0.0283699270362989,-0.0277367062441684,0.000867644697721552,0.00448473626606091,-0.385917332936207,-0.377389705885091,-0.093993349751915,-0.0975320468591526,0.00738074865447345,-0.00346752882215917,-0.000749318582975525,-0.000889449818628088,-0.00534524032017569,-0.00048165410232012,-0.00937444225830767,0.00249332379207043,-14910.5235304498
-0.0125363379214019,-0.00792362609350823,-0.0654025273768734,-0.0460939065292082,0.0170364313528578,-0.042278834504758,-0.0154607766670376,-0.00499382673478564,0.0061086972490839,-0.00289398086041688,-0.104869409485108,-0.102006985114885,-0.0811955853048939,-0.0789419204428779,-0.0132857459292514,-0.00649799975495514,-0.0351791568804163,-0.0342167609511509,-0.000662097440994899,-0.00540672342376182,-0.478510836548409,-0.465411282454775,-0.11306267526607,-0.11846685263178,0.0138881246829969,0.00883015139387346,-0.000786745920897071,-0.000602702218009179,-0.00893145661047202,-0.00455465078808044,-0.0118611877670921,0.00674287792046334,-14321.1536412436
-0.0524937550411364,-0.0131828958525197,-0.253876980993685,-0.077217276036615,-0.0102927098562302,-0.0605791866113899,0.00305874815083475,-0.00149749673826596,0.0113763646387152,-0.00452880602981922,-0.115028577553967,-0.112239329495005,-0.0876495568193149,-0.08534437365135,-0.0469850884637509,-0.010593581916754,-0.038778454507461,-0.0377526571287424,-0.0114317244889159,-0.00951725432822082,-0.524241451374106,-0.511400745353738,-0.110151049077665,-0.123145466196109,0.0172343729291504,0.0122466500278426,-0.000188087350718741,-0.000178002881558913,-0.0182968278742705,-0.00791205509280981,-0.0136080869610913,0.0183251678504993,-14283.6359300279
-0.055704182147613,0.0169863481268422,-0.370185538032528,-0.0672662482068242,0.421257394914395,-0.125873917556045,-0.00680567862323653,6.87150649545897e-05,0.104336291572139,-0.0314478564604181,-0.125885694122871,-0.132851389446272,-0.0666241888213025,-0.0695501452735044,-0.0745520546561069,0.0179657987817045,-0.0466480098266235,-0.0471166145757445,0.0364031308298593,-0.0451444952167003,-0.560779692541735,-0.590850414851873,0.171643893807733,0.00773493944810319,0.00986060991090567,0.0117387638755415,0.0145365142963256,0.00920948531981903,-0.113225839680511,-0.0560200853614809,-0.0269386649951816,0.247590371630667,-14281.8291231512
