"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_acc",6.34124088212337,0.742222083903991,8.54358960699374,1.38604529660275,4.57506035168259
"asc_brk",8.5136254159137,0.663166761722679,12.837834926766,2.2061494056254,3.85904299781557
"speed_acc",-1.62793079522565,0.163375424345395,-9.9643554209476,0.310231783507824,-5.24746619066061
"speed_brk",-2.0128300876666,0.146049763130119,-13.7818100113817,0.486801667289557,-4.13480524599218
"nodv_acc",0.146755818859734,0.0220184620298452,6.66512577766839,0.0364839407019101,4.0224771786248
"nodv_brk",0.00263054590160293,0.0211239697398288,0.124528956157473,0.0319997986526285,0.0822050766680948
"dist_acc",0.00244670417352666,0.00483149810168385,0.506406940876981,0.0044019439161136,0.555823567985576
"dist_brk",0.0275228838520029,0.00423862282169838,6.49335527358263,0.00749451768949991,3.67240228021123
"time_acc",-0.118732006204767,0.131150076462468,-0.905314044851094,0.104826197578882,-1.13265585270726
"time_brk",-0.75221110870286,0.120313024975613,-6.25211699942989,0.217784708320709,-3.45392068388546
"asc_llc",-1.19787706229667,3.00698845837561,-0.398364369826603,2.4672869438769,-0.485503749480561
"asc_rlc",-9.0163109588035,2.8391544250393,-3.17570290621959,2.4635794430092,-3.6598417738826
"male_llc",0.690062818085391,0.26781001446997,2.57668787872296,0.157872533100966,4.37101251580013
"male_rlc",0.0755614095177815,0.233518774666621,0.323577449503388,0.309495204770616,0.244144039562048
"male_acc",0.0975536186224351,0.0620172458739541,1.57300791493879,0.0704159298191431,1.38539132939085
"male_brk",0.165362405109674,0.0572375412130348,2.88905500839397,0.0737636765137627,2.24178637677884
"oldAge_llc",-0.114012850949148,0.210005533476056,-0.542904032393731,0.235796475490635,-0.483522286378177
"oldAge_rlc",0.0782292977509349,0.197406970202068,0.39628437471513,0.32682571373254,0.239360902352238
"oldAge_acc",0.0502683353826638,0.0561500436899582,0.895250156174922,0.0888238908665166,0.565932598676705
"oldAge_brk",-0.0952675770839922,0.0519943844908038,-1.83226665758188,0.0616453395458268,-1.54541410244275
"speed_llc",-0.764388171357766,0.657789730493234,-1.16205549573509,0.527072460529308,-1.45025253376004
"speed_rlc",0.881466098122772,0.613422877053009,1.4369631963475,0.51785074288802,1.70216246713656
"nodv_llc",0.268101819074864,0.082843164979403,3.23625756139956,0.0835491978638205,3.20890955185294
"nodv_rlc",-0.0184368394223222,0.0855335218592266,-0.215551038020696,0.0857723104168698,-0.214950947837544
"dist_llc",0.00512994910272877,0.0205714009921895,0.249372860150677,0.0152112166768101,0.337247783114517
"dist_rlc",-0.0335831182892826,0.0198867240654238,-1.68872048401738,0.0203446006419638,-1.65071405825545
"time_llc",-0.270780484859024,0.577178199396253,-0.469145378571591,0.445478834850375,-0.607841413947248
"time_rlc",0.797464911131984,0.530921323891678,1.50203970954967,0.533154811716978,1.49574737694633
"pos_acc",-0.16711009189315,0.067010684143761,-2.49378280536043,0.0982781230745248,-1.70037935875545
"pos_brk",-0.0680351989700203,0.0608424619216838,-1.11821903356894,0.0931536899096804,-0.730354310559094
"pos_llc",-0.677147286543565,0.284711586053181,-2.37836224345672,0.355976493069647,-1.90222472474069
"pos_rlc",3.16653063576671,0.151734389811992,20.8689054583488,0.671776049405991,4.71367003715997
