"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_llc","asc_rlc","male_llc","male_rlc","male_acc","male_brk","oldAge_llc","oldAge_rlc","oldAge_acc","oldAge_brk","speed_llc","speed_rlc","nodv_llc","nodv_rlc","dist_llc","dist_rlc","time_llc","time_rlc","pos_acc","pos_brk","pos_llc","pos_rlc","logLike"
0.195399044975966,0.488163190988232,-0.229964368629587,-0.00476786412607007,0.361705288671257,-0.193744289584284,-0.0214112419462553,0.00245052711201174,0.585584461064218,0.0181794650970815,-0.181270307179215,-0.221870367668862,0.857125071661451,0.211940153717863,0.207995784743462,0.108036847688806,-0.0190539186614503,0.225826738491145,0.318196686477979,0.0141719863918334,-0.283529202057468,-0.268325605986186,0.222442772342262,0.053668737032847,-0.00301214495821023,-0.0100516463581151,-0.412429336087757,0.306819313500135,0.183685003588376,0.0415999223652237,-0.485077603273583,3.181307285076,-15589.7700558603
0.335042384301013,0.817153917111824,-0.256555847547181,-0.130407205697289,0.346563551000407,-0.167680100473541,-0.0258318281841568,-0.00165575351681378,0.716015047357378,0.142552444697462,-0.255611708451662,-0.345673982520787,1.05558308671982,0.264992739029009,0.209778627191876,0.291775801631318,0.00345375809896893,0.172990004702075,0.155599181894965,0.147745485804179,-0.333686203789611,-0.262592081597395,0.258988216972954,0.0626767135480668,0.00436802177152838,-0.0158814827622082,-0.613977512881563,0.474951480613429,0.423866219028858,0.0423863802068532,-0.0680016852342508,3.30909683342915,-15569.0112628454
0.6112607023319,1.52642666214436,-0.349525721873084,-0.288830857178141,0.414308041122185,-0.1174918997479,-0.0334052951679929,-0.0101871302683162,0.904968321260137,0.361897194922296,-0.394477369913476,-0.613710679798575,1.25544102748638,0.467143135569701,0.2787716653475,0.3009680638342,-0.00724938640132409,0.165126214132997,0.0975499231838813,-0.189809017629296,-0.414263628989009,-0.276161630849828,0.407249064244848,0.144263815281602,0.0157989214062358,-0.0287989703642299,-0.97393438458546,0.805864888843527,0.488548508450724,0.228255776739134,0.702976348681197,3.42027558956177,-15538.6397972661
0.856160000705481,2.13603618663569,-0.382621082863391,-0.428043533308847,0.326787787613621,-0.186203362228409,-0.0344355173669923,-0.0111491156588133,0.965013069713478,0.423510512386987,-0.471477254458512,-0.837981420153973,1.16019245056172,0.559714085732597,0.338799738745206,0.375118578667752,-0.200251625023343,0.0381702080532217,0.114445180640487,-0.166979319296545,-0.347633302152899,-0.213894946630242,0.298061991745535,0.0324842178817326,0.0257780285955148,-0.0356386803603553,-1.20010175408221,1.04199183360234,0.30722066371075,0.458494148688437,0.928685619231652,3.48083213607952,-15499.9901559452
2.79898833794816,6.98401212995651,-0.762957830667132,-1.42791064287168,0.300743475644379,-0.0990003543103199,-0.0387759681270404,-0.00536675474757943,1.06610933970677,0.221281592017474,-1.02543785269156,-2.72212260397924,-0.0496387921461705,0.898417796317945,0.304352157585178,-0.0173535789786642,-0.906276988825326,-0.55488451043807,-0.618968910969512,-0.491805508445973,0.0389262143218483,0.128175245826556,0.308482896903434,0.0249994802675016,0.0691116533851756,-0.0883993036047189,-2.39382809681408,2.47332905435471,0.659058757183435,0.192167790869926,0.0636744466820571,3.24614231817857,-15409.7971023507
3.6267315570547,8.9480921976233,-0.905867648550262,-1.88845301361077,0.255913869578357,-0.0884294266414005,-0.0393037942354307,0.00571206951174722,1.07782329453827,-0.0876124635809851,-1.24135722179137,-3.51426663108973,-0.0219899647016176,0.677763607188984,0.146041163376415,0.211911691630329,-0.540005926329344,-0.648885118156553,-0.477941870782683,-0.630933508278831,0.0560192290492082,0.356691499738397,0.319837012745749,-0.0425012580072334,0.0762025562177832,-0.098519352479956,-2.5617374495575,2.7355797551504,0.45258112869731,0.0385277376788592,-0.336658576904241,2.99480185917158,-15259.3825230498
4.79073233687272,11.7407026441537,-1.20788645188565,-2.5075863007838,0.284382332008571,0.0177736004831343,-0.0319566072028613,0.018947194372136,0.851014234456442,-0.513230358830048,-1.4996687772914,-4.70050883345724,0.212396054366063,0.516855086909725,0.437382486383495,-0.0930444143606294,-0.212358383760856,-0.115120840603712,-0.37269135998457,-0.106422050799346,0.0142380426342049,0.582366257974422,0.415484942112147,0.00654267415284904,0.0689611678134824,-0.0992068773783539,-2.35140263405773,2.67875709385235,-0.0529832747489385,-0.220965439503406,-0.643193943270948,2.62679113428255,-15088.571650599
5.51598776313769,13.3148636641493,-1.32952432100282,-2.87075485736961,0.217208014376732,-0.00294409142845962,-0.0183161096823727,0.0301981156695593,0.470765026240416,-0.814124557113774,-1.55988967872334,-5.43127219068042,0.137459029589305,0.607096319467465,0.216177236159366,0.0608628306772668,-0.411839298887684,0.491166405477335,-0.104802879342998,-0.0738620677524987,0.0706283283186131,0.674971734645038,0.307585546456175,-0.0185818817908427,0.0511483248170931,-0.084019718506971,-1.79516107578589,2.25533114072219,0.0331562654062491,-0.428661773000533,-0.593474020065241,2.57911031986459,-14997.0613119724
5.98742125345408,14.1963840574208,-1.43844536566022,-3.07591300494535,0.258687531435612,0.0428494876665508,-0.00412844937942313,0.0370129527279105,0.0454107176955673,-1.0242524477275,-1.53967410429195,-5.87542439787668,0.0827595671668835,0.477090883153303,0.135086848944177,-0.0116820465682724,-0.449096296406591,0.270553297607052,-0.101050625385357,-0.090307176723435,0.051770618008153,0.786062636560205,0.350709913617485,0.018351039777684,0.0274485054684522,-0.0662450553430331,-1.14702436222969,1.71802122005771,0.216544823663568,-0.1936707117925,-0.480820244622446,2.69801840482099,-14921.4487779173
6.03800735770046,14.2422236907472,-1.4348295593061,-3.07256429715788,0.227583529534361,0.0172259425315788,-0.00295935918769961,0.0387509017483703,0.0217427503373365,-1.06562187054537,-1.52907754597069,-5.90319108212642,0.101480825112969,0.483428824049146,0.128962479326123,-0.0370266153475778,-0.427775299957394,0.269653170578815,-0.167030099872331,-0.121118580568941,0.0530180673748401,0.79757063657205,0.317696220308698,-0.0106454949854976,0.0258776178030871,-0.0643031475030658,-1.08701761582821,1.67559539079203,0.223674085372582,-0.173498756561531,-0.471653686273381,2.71317241420646,-14914.4170761514
