"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_acc",7.59854484674728,0.86473666088748,8.78712004525041,1.31392324784084,5.78309643218044
"asc_brk",9.85126254312668,0.798580756465691,12.3359628482983,2.0113595622569,4.89781276703844
"speed_acc",-1.76588384082038,0.189864807045717,-9.30074334626521,0.295056175327251,-5.98490724304216
"speed_brk",-2.16835413007891,0.175341038890803,-12.3664952814002,0.446850487363991,-4.85252716824864
"nodv_acc",0.161352999120347,0.0255764853985466,6.30864626652401,0.0454082153150654,3.55338781761841
"nodv_brk",0.0137983567750553,0.0247545118686292,0.557407750485341,0.0405423049808343,0.340344654345089
"dist_acc",0.0066975346850011,0.00543127778768519,1.23314161912083,0.00462905426809987,1.44684730338024
"dist_brk",0.031296159906225,0.00497136178798054,6.29528914630412,0.00833324140379917,3.75558061860021
"time_acc",-0.239762332728146,0.148487025984468,-1.61470223501698,0.108384639163953,-2.21214310973955
"time_brk",-0.859260948332418,0.140338201659558,-6.12278722522662,0.241238909894874,-3.56186714948622
"asc_llc",2.03200265307792,1.29435741293538,1.56989300850813,2.17230286213048,0.935414066105422
"asc_rlc",-2.36697136529143,1.34342767385793,-1.76188968810966,2.17361587676839,-1.08895568466794
"male_llc",0.72249320571012,0.111297476781114,6.49155063174548,0.174503306445413,4.14028375981589
"male_rlc",0.210477489715504,0.113335598786055,1.85711719856729,0.365580841606785,0.57573446351954
"male_acc",0.138294765043555,0.0702884207125362,1.96753268378513,0.0674947045225049,2.04897207894944
"male_brk",0.213964054345398,0.0661584527318426,3.23411515097927,0.0775893658960686,2.7576466423505
"oldAge_llc",-0.109163274781442,0.090053043779274,-1.21221082819819,0.241383096394591,-0.452240759241034
"oldAge_rlc",0.375514607436219,0.09633055811615,3.89818781059531,0.438333513528898,0.856686965167363
"oldAge_acc",0.0585445670213612,0.0640862501370739,0.913527736388701,0.0911773145818142,0.642095759124696
"oldAge_brk",-0.0861600356814362,0.0604789630360604,-1.42462819063322,0.0646049958272866,-1.3336435453347
"speed_llc",-0.907384795411822,0.282994182991524,-3.20637260391673,0.46532413125419,-1.95000588722133
"speed_rlc",0.00480948068460992,0.292533379895158,0.0164407927954533,0.49878132963152,0.00964246333791799
"nodv_llc",0.287435787284203,0.0364125957203775,7.89385600223348,0.0886406467458882,3.24270859742499
"nodv_rlc",-0.0590696952056201,0.0404149088207014,-1.46158180060927,0.0659986638954275,-0.895013500564405
"dist_llc",0.0100006806368436,0.00857469034199375,1.16630224975778,0.0146773033896351,0.681370437835737
"dist_rlc",-0.0329994695184415,0.00883328719091607,-3.73580851671814,0.0218904319185357,-1.50748370983486
"time_llc",-0.416570560762799,0.240937037317662,-1.72896025202457,0.440221386800811,-0.946275154394731
"time_rlc",0.805867440743583,0.233765046316918,3.44733934110516,0.55603017512668,1.44932321444602
"pos_acc",-0.118624921055939,0.0724494597993087,-1.63734721258847,0.099418203291027,-1.19319115744516
"pos_brk",-0.0376821841257596,0.0669886524023019,-0.562515930302022,0.0873467319945092,-0.431409204045876
"pos_llc",-0.6056046169697,0.11656369729863,-5.19548222134867,0.350175963458437,-1.7294294302458
"pos_rlc",2.78021390611746,0.0781222131586513,35.5880074783772,0.561630250264349,4.95025669434448
