"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_acc",6.3247538935815,0.741777500468194,8.52648387095786,1.38922003130502,4.55273732818268
"asc_brk",8.50206069109433,0.662695675359338,12.8295098447477,2.20610205761272,3.85388366859811
"speed_acc",-1.62421249333568,0.163273987966056,-9.94777253602296,0.310963168573312,-5.22316678463082
"speed_brk",-2.01025598646554,0.145943988999946,-13.7741608972075,0.486807921432937,-4.12946441082609
"nodv_acc",0.146252015999493,0.0220086500401171,6.64520612272479,0.0365102835751679,4.00577595346219
"nodv_brk",0.00235369350436268,0.0211153411729738,0.111468409867573,0.0320750849815876,0.0733807410241872
"dist_acc",0.00242516240183925,0.00482844949023337,0.502265252384785,0.0044033159096081,0.550758213042928
"dist_brk",0.0274858469966997,0.00423559000883453,6.48926051373484,0.00748510333477302,3.67207315215151
"time_acc",-0.118043481997162,0.131073712552902,-0.900588529141709,0.10492646573029,-1.12501151330675
"time_brk",-0.751151649200665,0.120232632102253,-6.24748569557921,0.217476943839738,-3.45393693666304
"asc_lc",-4.96388819594896,2.05882222082089,-2.41103294191655,1.9131510087209,-2.5946138978688
"male_lc",0.318106265787886,0.173626278374604,1.83213202958576,0.233549987257871,1.36204788329384
"male_acc",0.096975366733966,0.0620079898683378,1.56391727807779,0.0706294751733941,1.37301553630256
"male_brk",0.16521043890263,0.0572324827741807,2.88665511077848,0.0737795151894046,2.23924538509783
"oldAge_lc",-0.0512204703276495,0.141988655578846,-0.360736356850755,0.291544401174542,-0.175686688275604
"oldAge_acc",0.0503044619029916,0.0561503257759137,0.895889047977176,0.0889808920225592,0.565340049527015
"oldAge_brk",-0.095343803735768,0.0519954454525062,-1.83369529592466,0.0618154686457522,-1.5423939318839
"speed_lc",0.227685737264658,0.446643975055863,0.509770085303805,0.406476776009301,0.5601445167422
"nodv_lc",0.104268099628851,0.0593237030020563,1.75761279812955,0.0756307034033676,1.37864775728382
"dist_lc",-0.0143564013130139,0.014578574382539,-0.984760302091597,0.0153217591056722,-0.936994323824022
"time_lc",0.260460306009338,0.396520382496885,0.656864861193822,0.410224352793364,0.634921608714282
"pos_acc",-0.160257834830584,0.0663076354868363,-2.41688357085812,0.0952337318125312,-1.68278436411642
"pos_brk",-0.0648998129632335,0.0601406950486855,-1.07913307138694,0.0916364338745677,-0.708231543057083
"pos_lc",2.01997734834328,0.114294563513328,17.6734333309539,0.362697668876229,5.56931439510464
