"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_lc","male_lc","male_acc","male_brk","oldAge_lc","oldAge_acc","oldAge_brk","speed_lc","nodv_lc","dist_lc","time_lc","pos_acc","pos_brk","pos_lc","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16629.987155994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16629.987155994
-0.00113151909783483,0.000591360870748759,-0.00535672651603818,0.00250950237736106,-0.00086271963082254,0.000568320378661156,-0.0259988800156862,0.0135610559955239,-0.000775055624544621,0.000460650082677603,-0.00694015895947814,-0.00520575925707817,-0.000920319352298975,0.000464640622958541,-0.00215871966443956,-0.00029247971251607,0.000114560276269913,-0.0317768822703511,-0.0111027196515352,-0.151804294418544,-0.00551865701563657,-0.000280291186645627,-8.48826952278614e-06,-0.000413014395162463,-16247.2050060052
-0.00137436944262834,3.19791699802777e-05,-0.00654666748526473,-0.000158971593257819,-0.000648015593290467,-0.000884384825602525,-0.0226275900234994,-0.0178894543724,-0.000576838706804622,-0.000683868859369822,-0.00949352252587838,-0.00712280112727928,-0.00114951374730166,7.68639069443377e-05,-0.00296814739715774,-0.000348767019880561,-7.2715701621975e-05,-0.043461729483809,-0.0148680709371479,-0.19823492461423,-0.00720669339605041,-0.000378553650876984,-0.0001072527611911,-0.000526969152965425,-15212.7925175233
-0.00150769373954804,-2.28753336238099e-05,-0.00718900826508634,-0.000450365088688969,-0.000605829952200663,-0.00110698324733609,-0.0185090192776517,-0.0169864500768479,-0.000400633188643879,-0.000665014670548095,-0.0100130010224376,-0.00751377709018165,-0.0012778039844336,3.19418209417689e-05,-0.00314708191662061,-0.000381860622422911,-0.000102038862354895,-0.0458332894616337,-0.0153291024598182,-0.199074345372459,-0.00723697327721608,-0.00042382597137256,-0.00012797567282462,-0.000512273626826056,-15178.0144802715
-0.0391433504482851,-0.0117463584372207,-0.184945579282587,-0.060815926269893,-0.0263881198485104,-0.0425734478989372,-0.000588275786156944,-0.00995041232426031,0.00453776728411346,-0.00259007717474987,-0.0888783552530821,-0.0668650828837177,-0.0337707549427441,-0.00921585803818073,-0.0306100222164849,-0.0102605998642417,-0.00574890944477956,-0.4057455503815,-0.0788114554616817,-0.145938090319911,-0.00526023794339524,-0.00969930331593098,-0.00382583687960415,0.0026365580109179,-14107.9211999798
-0.036357845729547,-0.0169724304639635,-0.173203763624881,-0.0859923503996277,-0.0168720874634931,-0.0509918860510788,-0.00274387510716674,-0.00716069465190413,0.00547889885708216,-0.00283632853825815,-0.0935128957818864,-0.0700767230308308,-0.0317945531668757,-0.0133129548061584,-0.032188763912163,-0.00886669447134044,-0.00794757351293849,-0.426793076533297,-0.0824076419488536,-0.142846627881528,-0.00512891525631464,-0.0104007998884849,-0.00485494244025564,0.0043178402882108,-14037.781362736
-0.0326617341779935,-0.0127034261998144,-0.160280460244444,-0.0716099243619942,0.0103819613682399,-0.045952522716099,-0.00567570763591922,-0.00854850623525999,0.0091817838295471,-0.00375838717274938,-0.0971407166291811,-0.0712812752140191,-0.0295445975146935,-0.00930500591446395,-0.0332764729206828,-0.00556982241542466,-0.00855405799533865,-0.442795222846503,-0.0844825446850229,-0.139559720258054,-0.0049133376739604,-0.014038619943362,-0.00647821352688919,0.0128861777090503,-14024.2982208995
-0.0369209694798411,-0.00729956614382111,-0.206720539308683,-0.0825662559584578,0.136323087215022,-0.0312837908820864,-0.00747873990872011,-0.00804036034612695,0.0335338988729678,-0.00981656376786263,-0.0978311891404616,-0.0607923478409206,-0.0367479419961082,-0.00118052444769642,-0.0323200444593948,0.008178889004348,-0.0209325935255473,-0.442008978044054,-0.0787872386644732,-0.140394376585643,-0.00424672620110563,-0.0415578163258934,-0.0201835788709199,0.0743811166867287,-13991.9322745041
-0.0165944068757796,0.0178192876186006,-0.231039857058409,-0.145580775682631,0.168165223855295,0.165137117515592,-0.0108727147401655,-0.00979152387984304,0.127484842571616,-0.0334283447767193,-0.109246173577405,-0.0175966662637718,-0.0103355329204235,0.0293855188142311,-0.0309982849838601,0.107898340797098,-0.0737684695473251,-0.474600369550166,-0.0441776381086713,-0.139152121990505,-0.000748701683925355,-0.147197024954781,-0.0831552924046477,0.366383714476755,-13972.5318270697
