"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_lc","speed_lc","nodv_lc","dist_lc","time_lc","pos_acc","pos_brk","pos_lc","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16629.987155994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16629.987155994
-0.00113151909783483,0.000591360870748759,-0.00535672651603818,0.00250950237736106,-0.00086271963082254,0.000568320378661156,-0.0259988800156862,0.0135610559955239,-0.000775055624544621,0.000460650082677603,-0.00694015895947814,-0.0317768822703511,-0.0111027196515352,-0.151804294418544,-0.00551865701563657,-0.000280291186645627,-8.48826952278614e-06,-0.000413014395162463,-16250.4156581422
-0.00137444552882585,3.34537170144928e-05,-0.00654699660628627,-0.000152169789815146,-0.000648618107006006,-0.000882305179659742,-0.0226372360405081,-0.0178660643789844,-0.00057721186310361,-0.00068302065203421,-0.00949445777144008,-0.0434660286257513,-0.0148684268598782,-0.198222755138454,-0.00720625290013182,-0.000378544716224036,-0.000107062464464935,-0.000527139252036395,-15217.876779218
-0.00150769310276047,-2.03419847655939e-05,-0.00718898397803767,-0.000438691377531037,-0.000606809967660515,-0.00110400483197887,-0.0185280330901832,-0.0169659049639566,-0.000401347972859443,-0.00066427237386161,-0.010016376002155,-0.045848783920439,-0.0153316333435378,-0.199067897223494,-0.0072367428955751,-0.000423806315185589,-0.000127651635296371,-0.000512755890088753,-15183.4555604004
-0.0389270141347543,-0.0114952785528917,-0.183927738194037,-0.0596288063582857,-0.0262863639335087,-0.0421982317117605,-0.00117200688750001,-0.0101942984218178,0.00449531368806351,-0.00258862031632235,-0.088931331016016,-0.405998468554326,-0.078897894581268,-0.147437338979866,-0.00531532540425727,-0.00964989968168021,-0.00378305931748187,0.00256430014519686,-14113.0555598302
-0.0362789819215941,-0.0168481222485683,-0.172818035380043,-0.0853828156218908,-0.0169216179015647,-0.0507178729125564,-0.00319887048057959,-0.00742346755769287,0.0054382017417381,-0.00283447675667971,-0.0934314394994728,-0.426432249393623,-0.0823710460465139,-0.144550708288142,-0.00519124097944132,-0.0103747169509526,-0.00482321286066704,0.00425034677759963,-14044.9693853725
-0.0331275642963559,-0.0130717627433847,-0.162383063977358,-0.0732245222502954,0.00970689222995661,-0.0458460980685164,-0.00576522146444897,-0.00857528896631375,0.00914482882336329,-0.00373014319387884,-0.096479511004156,-0.439787762477928,-0.0838990899093232,-0.141849914106638,-0.00499677987284466,-0.014077193024147,-0.00650282699673872,0.0127818503241028,-14032.7087637287
-0.0383066966771177,-0.00734703993032776,-0.216048803712001,-0.0864315768961942,0.149776335595186,-0.0277360783981935,-0.00758738410121203,-0.00795296726971559,0.0363114076679992,-0.0103293162199041,-0.0967183834700541,-0.436503501524726,-0.0764732896709894,-0.142962507020126,-0.00426628104453925,-0.0447473343053385,-0.0217558615431716,0.0804406537397342,-14000.2142365967
-0.0158319608831514,0.0167086782966008,-0.227636942932644,-0.1475352310764,0.176591273482554,0.166876587528442,-0.0109893804702292,-0.00968518853470072,0.12817797923974,-0.0333810431655793,-0.106499612079984,-0.46212910709225,-0.0380772841756299,-0.141953327061684,-0.000892021078160699,-0.147255525312026,-0.0822640734173528,0.360799802002382,-13984.0345764643
0.0363017318139458,0.0945680947957455,-0.227262842691652,-0.151785580170959,0.150437082380927,0.131847997408064,-0.0171233449861713,-0.00719022079551212,0.310492103918077,-0.0897484091716884,-0.121294491504901,-0.48836655965253,0.0608815559027293,-0.145990449151856,0.00612623983505323,-0.335161820481037,-0.183100240385977,0.941994011307034,-13909.2932540319
0.124560739740333,0.302542477489709,-0.25964739306386,-0.207508477552455,0.15890086143702,0.14183706949993,-0.0211698133629445,-0.00873937707436232,0.418777383903779,-0.0469698266568726,-0.153366622107695,-0.502842252753112,0.0765956353367992,-0.146519640639473,0.0214730933673091,0.0946680809038036,0.116055583963894,1.65574392325311,-13872.5535874884
0.392525443414268,1.12012518221593,-0.315169427234924,-0.388278764757542,0.170523690028689,0.13124876296477,-0.00589807836052045,-0.0154857017010393,-0.00847736437728436,0.16185006682922,-0.285293486635406,-0.490612276799887,0.101715560682136,-0.147382659783462,0.0754422370455123,-0.0606561234191477,0.242838362954784,1.87159429102786,-13854.0886113414
0.780605954366614,2.16349614801882,-0.403119947924016,-0.608342360380508,0.180989541594139,0.116311794268488,0.00349319981594916,-0.014490139124576,-0.273166157466223,0.161214751798962,-0.458957147499347,-0.468907720476144,0.126635318789729,-0.148299745032631,0.14657960647568,0.0429266074711102,-0.0138742063421068,2.0057019947521,-13822.926097669
5.09791788716766,12.6248980740643,-1.33000868395396,-2.89241265063419,0.171734846752705,0.0507496185995428,0.0126277227966627,0.0679636335275402,-0.490430209677137,-1.93076163749307,-2.24466942452359,-0.195422250584059,0.265192080563531,-0.153855741204324,0.881118297739707,-0.0954563411717733,0.0726590324130122,2.27513627227481,-13584.8956501889
5.44098441929271,13.2179985445098,-1.40016805588949,-3.01767088242656,0.155488530455295,0.0303638681442116,0.00391728769927358,0.0606726410189725,-0.237866684546858,-1.70312121162697,-2.34941424813849,-0.147201072442372,0.104351359431129,-0.14835935941241,0.931857517838542,-0.132300016843972,0.046620720044166,2.24591725455589,-13562.2750343456
5.63356718625141,13.3638251932796,-1.44365228583999,-3.05066557881548,0.156684538996389,0.02922205230253,-0.000580794800350341,0.0551146021546994,-0.109048933586803,-1.54156040482532,-2.40177241677098,-0.175003721686481,0.305584775048065,-0.155428685687142,0.963068314193668,-0.120294285760925,0.05213385270252,2.19614949214655,-13555.5280236672
8.19362374933086,11.6748234259405,-1.99771150080875,-2.6819664758538,0.149962112163823,0.00714788687994817,0.00776574677711706,0.0468933908272597,-0.32945323728657,-1.25542904385994,-2.73297823895904,-0.139685421007564,0.264300490050861,-0.157509261913915,1.4242281371603,-0.152100341648234,0.0139203282328322,2.37479942582161,-13473.3471263801
7.24558043139313,7.86632895462753,-1.79350952218116,-1.8408429431727,0.123336021930001,-0.0429525049176638,-0.000275203500027279,0.0177391551197277,-0.0779942366087609,-0.34078530609416,-4.39530773113712,0.0633999065315697,0.0753236935120543,-0.130470879766678,2.65698565041444,-0.188908175580936,-0.142122804981364,2.97649487173004,-13279.6008638656
7.20498221556843,7.06035270783762,-1.78704536611424,-1.6649900715273,0.121612160815106,-0.0430360997670377,-0.000442512953233927,0.0134865168139372,-0.0614100324117676,-0.222478290239946,-5.22136124595689,0.204971763067369,0.0514458109270471,-0.0125393151463529,-0.124547564222385,-0.188269522330133,-0.156716034930118,3.03389346956632,-13239.2896590733
7.29591872299606,6.92520683499496,-1.81821582967181,-1.64568214142548,0.137716874717607,0.010176597470071,0.00561998565295318,0.0235395718254758,-0.184472470977071,-0.624393752870187,-6.47408744929072,0.416754889928827,0.00254114393674779,0.021251638686149,-0.0606404494064056,-0.164214100830495,-0.0814837630732928,2.62989917374376,-13213.5940047659
