"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_acc",6.18597355791489,0.734604339244344,8.42082360182916,1.36641075746333,4.52716983098026
"asc_brk",8.3422256646488,0.660377092728506,12.6325182331521,2.23219298583746,3.73723316826883
"speed_acc",-1.57217449559157,0.160485319669969,-9.7963757608776,0.299210195092292,-5.25441486078585
"speed_brk",-1.95388162054327,0.144419439850916,-13.5292147827208,0.489097891304627,-3.99486821611817
"nodv_acc",0.141330731772784,0.0218201409967881,6.47707692601932,0.0355572235738706,3.9747403640548
"nodv_brk",0.00298518507000621,0.02096135319364,0.142413757472106,0.0319765494113376,0.0933554471936792
"dist_acc",0.00223554920926949,0.00482133141709013,0.463678808999762,0.00433924010346412,0.515193710411367
"dist_brk",0.027926680788181,0.00423516552079616,6.59399984511849,0.00766646464192778,3.64270652674121
"time_acc",-0.117255389865895,0.130805172464279,-0.896412486271643,0.10473224535531,-1.11957295929349
"time_brk",-0.770128946617472,0.120173565079971,-6.40847216361584,0.222255220752276,-3.46506572043971
"asc_lc",-5.23498609308261,2.06708840879439,-2.53254097445008,1.65565332411845,-3.1618854121348
"speed_lc",0.340164995954209,0.446471226252925,0.761896794131827,0.342973588130329,0.991811054048125
"nodv_lc",0.101956882250587,0.0589997029962772,1.72809144915561,0.0684876491090055,1.4886900569227
"dist_lc",-0.0145925231712912,0.0147591145394992,-0.988712644802493,0.0157852966859682,-0.924437687906287
"time_lc",0.252224078390212,0.400917249257709,0.62911755195667,0.426911237687515,0.59081152268667
"pos_acc",-0.148889588518189,0.0658608610913882,-2.26066871964504,0.0962970692238371,-1.54614870128709
"pos_brk",-0.0503411349394787,0.0598544886191264,-0.841058642398829,0.0967568390834178,-0.520285030147353
"pos_lc",2.0362154260427,0.113727954427519,17.9042649302237,0.358852308188956,5.6742436361048
