"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_acc",4.40723154959529,0.770730455814764,5.71825275145805,1.23333116569897,3.57343726662218
"asc_brk",6.24812528015293,0.726585675041994,8.59929598776057,1.96651392165696,3.17725962239227
"speed_acc",-0.922297152756628,0.16747487829539,-5.50707761154419,0.270389879817415,-3.41098991345173
"speed_brk",-1.24790315089711,0.157930921624314,-7.90157581594837,0.4318522813645,-2.88965279274243
"nodv_acc",0.0731553477804478,0.0229138149304904,3.1926306467241,0.0323800914993924,2.25926933473368
"nodv_brk",-0.0268371082068071,0.022260318838358,-1.20560304646502,0.0278855215369328,-0.96240295062306
"dist_acc",-0.00764166583891339,0.00497102426245122,-1.53724171025174,0.00506389749454366,-1.50904828684768
"dist_brk",0.0177446478194286,0.00461876791990211,3.84185742326813,0.00620250265325463,2.86088516384874
"time_acc",0.177207832184369,0.137303714782704,1.29062664083646,0.125816601364586,1.40846144517021
"time_brk",-0.48388605762827,0.13107625704693,-3.69163774225732,0.168625331474923,-2.8695929217505
"asc_lc",-4.81458088376976,2.09238666959892,-2.30099959712162,1.80409603437077,-2.6686943444499
"speed_lc",0.402663673089772,0.451967321854579,0.890913244429936,0.374275406935546,1.07584860139933
"nodv_lc",0.0840347284867482,0.0601777246247738,1.39644243797402,0.0692041170650843,1.21430244399645
"dist_lc",-0.017759435572553,0.0149967609809578,-1.18421808516539,0.0154470416840433,-1.14969817106782
"time_lc",0.347199186993763,0.408036437855193,0.850902406703639,0.414189463176067,0.838261756664179
"pos_acc",-0.135861738468591,0.0673435594267173,-2.01744219677658,0.0751208413095947,-1.80857583727884
"pos_brk",0.00456854111906845,0.0633962455799837,0.0720632756289103,0.0970754947772961,0.0470617340611993
"pos_lc",2.03917824595854,0.119038762027912,17.1303717479891,0.361242957947901,5.64489411099504
